employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
NYU GROSSMAN SCHOOL OF MEDICINE,NYU Grossman School of Medicine,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,NY,New York,110000,110000,110000
OPENEVIDENCE,"OpenEvidence, Inc.",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,NJ,Jersey City,325000,325000,325000
PROMETHEUS COMPUTING,Prometheus Computing LLC,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,MD,Gaithersburg,115000,115000,115000
REGENTS OF THE UNIVERSITY OF MINNESOTA,Regents of the University of Minnesota,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,MN,Austin,74006,74006,74006
RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII,Research Corporation of the University of Hawaii,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,HI,Kihei,91499,91499,91499
RESONATE NETWORKS,"Resonate Networks, Inc.",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,VA,McLean,132434,132434,132434
RESOURCE INNOVATIVE TECHNOLOGIES,RESOURCE INNOVATIVE TECHNOLOGIES LLC,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,GA,ALPHARETTA,90000,90000,90000
SOUTHERN METHODIST UNIVERSITY,SOUTHERN METHODIST UNIVERSITY,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,Dallas,62000,62000,62000
SPARC GROUP,SPARC Group LLC,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,Antioch,111427,111427,111427
SPECRIGHT,"Specright, Inc.",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,Tustin,158760,158760,158760
SUBTLE MEDICAL,"Subtle Medical, Inc.",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,MA,Revere,140000,140000,140000
TEMPUS AI,Tempus AI,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,San Francisco,156300,156300,156300
THE CURATORS OF THE UNIVERSITY OF MISSOURI,The Curators of the University of Missouri,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,MO,Columbia,68500,68500,68500
THE TRUSTEES OF PRINCETON UNIVERSITY,The Trustees of Princeton University,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,NJ,Princeton,86403,86403,86403
THE UNIVERSITY OF TEXAS AT AUSTIN,The University of Texas at Austin,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,Austin,75000,75000,75000
