employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
BANK OF CHINA,Bank of China,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,71136.0,71136.0,71136.0
BATH RX INC DBA BATH DRUG,BATH RX INC. DBA BATH DRUG,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,PA,BATH,87889.0,87889.0,87889.0
BBTS MANAGEMENT,BBTS Management Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Flushing,80000.0,80000.0,80000.0
BESTVIEW INTERNATIONAL COMPANY,Bestview International Company,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,IL,Glenview,65500.0,65500.0,65500.0
BETHEL CHURCH AUSTIN,"Bethel Church Austin, Inc",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Austin,58427.0,58427.0,58427.0
BIG NIGHT ENTERTAINMENT GROUP,"Big Night Entertainment Group, Inc.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MA,Boston,75000.0,75000.0,75000.0
BL DISTRIBUTION WEST,"BL Distribution West, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NV,Las Vegas,54643.0,54643.0,54643.0
BLUE CO,"Blue & Co., LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,IN,Carmel,80500.0,80500.0,80500.0
BRIGIM ACCOUNTANTS ADVISORS LLP,"Brigim Accountants & Advisors, LLP",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Irvine,69888.0,69888.0,69888.0
BRUCE E BERNSTIEN ASSOCIATES PLLC,"Bruce E Bernstien & Associates, PLLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Dallas,62400.0,62400.0,62400.0
BUSINESS INTEGRA TECHNOLOGY SOLUTIONS,Business Integra Technology Solutions Inc.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,MD,Bethesda,69139.0,69139.0,69139.0
BYTEDANCE,ByteDance Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Culver City,81900.0,81900.0,81900.0
CC APPAREL,CC Apparel LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,91000.0,91000.0,91000.0
CG UHLENBERG LLP,CG Uhlenberg LLP,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,San Mateo,76211.0,76211.0,76211.0
CHANG CHANG CHEN CO CPA S,"Chang, Chang, Chen & Co., CPA's",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Diamond Bar,61526.0,61526.0,61526.0
CHARISMA CREATIONS,Charisma Creations Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,BROOKYLN,3801200.0,3801200.0,3801200.0
CHARLES E HARRIS AND ASSOCIATES,"CHARLES E. HARRIS AND ASSOCIATES, INC.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,OH,INDEPENDENCE,54392.0,54392.0,54392.0
CHARTER INSTITUTE AT ERSKINE,Charter Institute at Erskine,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,SC,Columbia,60000.0,60000.0,60000.0
CHATEAU 55,Chateau 55 LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,San Diego,66000.0,66000.0,66000.0
CHRISTINE WANG ASSOCIATES,"Christine Wang & Associates, Ltd.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,VA,Vienna,75833.0,75833.0,75833.0
CHUGH CPAS LLP,"CHUGH CPAS, LLP",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,SANTA CLARA,95000.0,95000.0,95000.0
CITRON HYGIENE US,Citron Hygiene US Corp.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MA,Billerica,70096.0,70096.0,70096.0
CJ AMERICA,"CJ America, Inc.",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Los Angeles,100000.0,100000.0,100000.0
