QUARTER,EMPLOYER_NAME,EMP_NORM,SOC7,SOC_TITLE,JOB_TITLE,WORKSITE_CITY,WORKSITE_STATE,WAGE_ANNUAL,VISA_CLASS
FY2025Q3,Yarbo International Inc.,YARBO INTERNATIONAL,27-1021,Commercial and Industrial Designers,Industrial Designer,Ronkonkoma,NY,56826.0,H-1B
FY2025Q3,Olive Children Foundation,OLIVE CHILDREN FOUNDATION,27-1024,Graphic Designers,Marketing Designer,Fremont,CA,56100.0,H-1B
FY2025Q3,Aproject Factory LLC,APROJECT FACTORY,27-1021,Commercial and Industrial Designers,Designer,Porter Ranch,CA,62400.0,H-1B
FY2025Q3,"Oliver Wyman, LLC",OLIVER WYMAN,27-1024,Graphic Designers,Designer,San Francisco,CA,82000.0,H-1B
FY2025Q3,Computer Telephony Innovations Inc,COMPUTER TELEPHONY INNOVATIONS,15-1255,Web and Digital Interface Designers,Senior UI/UX Designer I,Fargo,ND,65000.0,H-1B
FY2025Q3,AnalogFolk LLC,ANALOGFOLK,27-1024,Graphic Designers,Junior Creative,Brooklyn,NY,65000.0,H-1B
FY2025Q3,Creative Capital Advisors LLC,CREATIVE CAPITAL ADVISORS,27-1024,Graphic Designers,Graphic Designer,New York,NY,51542.4,H-1B
FY2025Q3,Prowork Pacific Inc.,PROWORK PACIFIC,27-1024,Graphic Designers,Branding and Graphic Designer,Honolulu,HI,42000.0,H-1B
FY2025Q3,"SilverLogic, LLC",SILVERLOGIC,15-1255,Web and Digital Interface Designers,UI / UX Designer,Boca Raton,FL,50336.0,H-1B
FY2025Q3,ZENIMAX MEDIA INC,ZENIMAX MEDIA,15-1255,Video Game Designers,Associate Level Designer,Dallas,TX,51438.0,H-1B
FY2025Q3,Global Outlier Gaming Inc,GLOBAL OUTLIER GAMING,15-1255,Video Game Designers,Game Designer,Bellevue,WA,80000.0,H-1B
FY2025Q3,Horizon World Salon Incorporated,HORIZON WORLD SALON,27-1024,Graphic Designers,Product Designer,New York,NY,52000.0,H-1B
FY2025Q3,Media Barn Inc.,MEDIA BARN,27-1024,Graphic Designers,Graphic Service Designer,Arlington,VA,68000.0,H-1B
FY2025Q3,Open Avenues Foundation,OPEN AVENUES FOUNDATION,27-1024,Graphic Designers,Graphic Design Fellow,Fort Mill,SC,37772.8,H-1B
FY2025Q3,BAYONE SOLUTIONS Inc.,BAYONE SOLUTIONS,27-1024,Graphic Designers,Visual Designer,Duarte,CA,160000.0,H-1B
FY2025Q3,PCOnline LLC,PCONLINE,27-1024,Graphic Designers,Graphic Designer,Newark,DE,42099.0,H-1B
FY2025Q3,"Vizard, Corp",VIZARD,15-1255,Web and Digital Interface Designers,UI/UX Designer,Medford,MA,73445.0,H-1B
FY2025Q3,"Alapient, Inc.",ALAPIENT,15-1255,Web and Digital Interface Designers,Digital and Social Media Specialist,Leesburg,VA,60000.0,H-1B
FY2025Q3,"Entrivis Technologies, Inc.",ENTRIVIS TECHNOLOGIES,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Duluth,GA,72000.0,H-1B
FY2025Q3,TeamSuccess LLC dba HiEd Success,TEAMSUCCESS LLC DBA HIED SUCCESS,15-1255,Web and Digital Interface Designers,UI/UX Designer,Alpharetta,GA,64875.0,H-1B
FY2025Q3,Okai Inc,OKAI,27-1024,Graphic Designers,Marketing Specialist,San Dimas,CA,48692.8,H-1B
FY2025Q3,STARWARD GAME STUDIOS LLC,STARWARD GAME STUDIOS,15-1255,Video Game Designers,Game Designer,Mountain View,CA,114462.40000000001,H-1B
FY2025Q3,STARWARD GAME STUDIOS LLC,STARWARD GAME STUDIOS,27-1024,Graphic Designers,Designer,Albany,CA,56076.8,H-1B
FY2025Q3,"Rockstar San Diego, Inc.",ROCKSTAR SAN DIEGO,15-1255,Video Game Designers,Designer: Open World Events,Carlsbad,CA,90000.0,H-1B
FY2025Q3,STARWARD GAME STUDIOS LLC,STARWARD GAME STUDIOS,15-1255,Video Game Designers,Game Designer (Environment),Philadelphia,PA,52416.0,H-1B
FY2025Q3,Twentysix Interactive LLC,TWENTYSIX INTERACTIVE,15-1255,Video Game Designers,Creative Director,Los Angeles,CA,83200.0,H-1B
FY2025Q3,AFTERNOONNYC LLC,AFTERNOONNYC,27-1021,Commercial and Industrial Designers,Packaging Designer,Brooklyn,NY,57000.0,H-1B
FY2025Q3,Meltek Inc.,MELTEK,15-1255,Web and Digital Interface Designers,Software Developer,Sunnyvale,CA,61000.0,H-1B
FY2025Q3,Calm and Collected LLC,CALM AND COLLECTED,27-1024,Graphic Designers,Designer 1,New York,NY,51542.0,H-1B
