employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMAZON COM SERVICES,Amazon.com Services LLC,7,2,FY2025Q4; FY2026Q1,yes,13-1081,Logisticians; Logistics Engineers,TN; TX; WA,Austin; Bellevue; Irving; Nashville; Seattle,69100.0,75000.0,89000.0
AMAZON DATA SERVICES,"Amazon Data Services, Inc",7,2,FY2025Q4; FY2026Q1,yes,13-1081,Logisticians,CA; KY; TX; VA; WA,AUSTIN; Arlington; Bellevue; Florence; Seattle; Sunnyvale,67300.0,108000.0,124719.0
GOFO,GOFO Inc.,2,2,FY2025Q4; FY2026Q1,yes,13-1081,Logistics Analysts; Logistics Engineers,PR; TX,Catano; Houston,46946.0,53633.0,60320.0
KUEHNE NAGEL,Kuehne & Nagel Inc.,2,2,FY2025Q4; FY2026Q1,yes,13-1081,Logisticians; Logistics Analysts,NJ,Jersey City,70000.0,70500.0,71000.0
EME TECHNOLOGIES,EME Technologies Inc.,2,1,FY2025Q4,no,13-1081,Logistics Engineers,CA,Santa Clara,78437.0,78437.0,78437.0
GOFO EXPRESS,GOFO Express Inc.,2,1,FY2026Q1,no,13-1081,Logistics Analysts,PR,Catano; Cata̱o,46946.0,46946.0,46946.0
MINISO DEPOT CA,Miniso Depot CA Inc,2,1,FY2025Q4,no,13-1081,Logisticians,CA,Ontario,56160.0,56160.0,56160.0
A FLYING CAMEL,A Flying Camel Inc.,1,1,FY2025Q4,no,13-1081,Logistics Analysts,CA,Eastvale,51210.0,51210.0,51210.0
ACME TRADING CORPORATION,ACME Trading Corporation,1,1,FY2025Q4,no,13-1081,Logistics Analysts,CA,City of Industry,59280.0,59280.0,59280.0
APOZEAL PHARMACEUTICALS,Apozeal Pharmaceuticals Inc,1,1,FY2025Q4,no,13-1081,Logistics Engineers,PA,Levittown,68640.0,68640.0,68640.0
ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE LLC,1,1,FY2026Q1,no,13-1081,Logistics Analysts,MD,SALISBURY,83637.0,83637.0,83637.0
BEST LOGISTICS TECHNOLOGY CO,"BEST LOGISTICS TECHNOLOGY CO., LTD",1,1,FY2025Q4,no,13-1081,Logistics Analysts,CA,Chino,64480.0,64480.0,64480.0
BUILD HEALTH INTERNATIONAL,"Build Health International, Inc.",1,1,FY2025Q4,no,13-1081,Logistics Engineers,MA,Beverly,67784.0,67784.0,67784.0
BYD ELECTRONIC AMERICA,BYD Electronic America Corp.,1,1,FY2026Q1,no,13-1081,Logisticians,CA,Cupertino,81598.0,81598.0,81598.0
CAINIAO SUPPLY CHAIN U S,Cainiao Supply Chain U.S. Inc.,1,1,FY2025Q4,no,13-1081,Logisticians,NJ,Florence,59842.0,59842.0,59842.0
CARNEGIE PHARMACEUTICALS,Carnegie Pharmaceuticals LLC,1,1,FY2025Q4,no,13-1081,Logisticians,NJ,Delran,60000.0,60000.0,60000.0
