employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ALPHA IN BAY,"ALPHA IN BAY, INC",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Cupertino,66893,66893,66893
ALTA TALENT,Alta Talent Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Torrance,72000,72000,72000
ALVAREZ MARSAL HOLDINGS,"ALVAREZ & MARSAL HOLDINGS, LLC",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,71000,71000,71000
AMASS GLOBAL NETWORK US,AMASS GLOBAL NETWORK (US) INC.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,CITY OF INDUSTRY,52707,52707,52707
AMAZON WEB SERVICES,"Amazon Web Services, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,90000,90000,90000
AMCAN GLOBAL,"Amcan Global, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,TX,Houston,52000,52000,52000
APIC US,APIC US INC.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Sunnyvale,66893,66893,66893
AS BEAUTY GROUP,AS Beauty Group LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,63000,63000,63000
ASIAN PACIFIC AND KOREAN BUSINESS ORGANIZATION,Asian Pacific and Korean Business Organization Inc.,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,DE,Camden,48000,48000,48000
ATHLETIFREAK,ATHLETIFREAK LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Basking Ridge,61797,61797,61797
AVIER CARE,Avier Care LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,PA,Philadelphia,48818,48818,48818
AXXESS CONSULT,AXXESS CONSULT INC.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,TX,Dallas,51500,51500,51500
AYLA,Ayla Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Jose,90000,90000,90000
BANNER INTERNATIONAL,"Banner International, LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,TX,Carrollton,46842,46842,46842
BARKLAYS LOGISTICS,Barklays Logistics Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,College Point,62400,62400,62400
BEAMABLE ENGINEERING,Beamable Engineering Inc.,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Cupertino,78000,78000,78000
