employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ALPINE CAPITAL ADVISORS,Alpine Capital Advisors,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,110000,110000,110000
ALPINE MANAGEMENT SERVICES III,"ALPINE MANAGEMENT SERVICES III, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,San Francisco,120000,120000,120000
ALPINE OPERATIONS GROUP,Alpine Operations Group LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,TX,Austin,100000,100000,100000
ALTARIS,"Altaris, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,125000,125000,125000
AMAR COMPANIES,"AMAR Companies, Inc.",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,TX,Dallas,64397,64397,64397
AMERICHINA,AmeriChina LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA,Costa Mesa,76794,76794,76794
APAX PARTNERS US,"Apax Partners US, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
APEX TOOL GROUP,"Apex Tool Group, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,MD,Sparks,77300,77300,77300
AQR CAPITAL MANAGEMENT,"AQR Capital Management, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CT,Greenwich,140000,140000,140000
ARCADIA MEDICAL ASSOCIATES PA,"Arcadia Medical Associates, PA",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,FL,Arcadia,75000,75000,75000
AUGMENTED REALITY TECHNOLOGIES,AUGMENTED REALITY TECHNOLOGIES LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,IL,CHICAGO,70886,70886,70886
BALANCE CAPITAL MANAGEMENT,Balance Capital Management LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
BALLAD HEALTH,Ballad Health,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,TN,Kingsport,63000,63000,63000
BERKLEY INSURANCE COMPANY,Berkley Insurance Company,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CT,Greenwich,89482,89482,89482
BEST CHEER STONE AND CABINETS,Best Cheer Stone and Cabinets Inc.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,GA,Norcross,67830,67830,67830
BISONTE INDUSTRIAL USA,Bisonte Industrial USA LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,MD,BALTIMORE,72500,72500,72500
BJC HEALTH SYSTEM,BJC Health System,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,MO,St. Louis,69000,69000,69000
BLOCPOWER,BlocPower LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,Brooklyn,90000,90000,90000
BOSTON UJIMA PROJECT,"Boston Ujima Project, Inc.",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,MA,Boston,79997,79997,79997
CALIFORNIA INSTITUTE OF TECHNOLOGY,California Institute of Technology,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,Pasadena,93000,93000,93000
CEDAR PARK CAPITAL MANAGEMENT L P,"Cedar Park Capital Management, L.P.",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,125000,125000,125000
CENTENNIAL TECHNOLOGIES,Centennial Technologies Inc.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,VA,Vienna,84800,84800,84800
CENTRAL OHIO TAX COMPANY,Central Ohio Tax Company,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,OH,Columbus,70720,70720,70720
